Prueba,Fecha,Observadora,Hora,Tipo de Bosque,Point,Tratamiento,Grabación,Temperatura,Speaker Direction,Other Notes
119,4-Aug-23,CAH,7:46,VA,VA31,HEGR8,119_VA_HEGR8_ZOOM0103,23,63,
120,30-Jul-23,CAH,7:20,VA,VA11,LAHY6,120_VA_LAHY6_ZOOM0080,21,204,"misty morning, drops"
121,30-Jul-23,GX,6:57,VA,VA33,MYSC7,121_VA_MYSC7_ZOOM0237,24,70,
122,30-Jul-23,GX,8:13,VA,VA34,PLCO3,122_VA_PLCO3_ZOOM0239,24,348,
123,30-Jul-23,CAH,8:13,VA,VA40,THAR5,123_VA_THAR5_ZOOM0082,21,310,"misty morning, drops"
124,1-Aug-23,CAH,6:31,VA,VA23,MOMO7,124_VA_MOMO7_ZOOM0088,20,226,
125,1-Aug-23,GX,6:46,VA,VA39,HEGR3,125_VA_HEGR3_ZOOM0247,,240,
126,1-Aug-23,CAH,7:12,VA,VA5,THAR4,126_VA_THAR4_ZOOM0090,20,0,
127,1-Aug-23,GX,7:17,VA,VA38,MYLO8,127_VA_MYLO8_ZOOM0248,,233,
128,1-Aug-23,CAH,7:30,VA,VA6,TUOC2,128_VA_TUOC2_ZOOM0091,20,160,
129,1-Aug-23,GX,7:37,VA,VA37,LECO6,129_VA_LECO6_ZOOM0249,,100,
130,1-Aug-23,GX,7:55,VA,VA36,HARU8,130_VA_HARU8_ZOOM0250,,153,
131,1-Aug-23,GX,8:14,VA,VA35,LAHY8,131_VA_LAHY8_ZOOM0251,,140,
132,1-Aug-23,CAH,8:16,VA,VA32,MYSC5,132_VA_MYSC5_ZOOM0092,22,50,
133,3-Aug-23,GX,6:30,VA,VA6,MOMO5,133_VA_MOMO5_ZOOM0256,,192,
134,3-Aug-23,CAH,6:54,VA,VA39,THAR6,134_VA_THAR6_ZOOM0097,22,310,
135,3-Aug-23,CAH,7:21,VA,VA35,HARU5,135_TF_HARU5_ZOOM0098,21,113,
136,3-Aug-23,GX,7:22,VA,VA23,MYLO6,136_VA_MYLO6_ZOOM0257,,262,
137,4-Aug-23,GX,6:56,VA,VA34,HARU1,137_VA_HARU1_ZOOM0261,,336,
138,3-Aug-23,GX,8:28,VA,VA33,PLCO8,138_VA_PLCO8_ZOOM0259,,103,
139,4-Aug-23,GX,6:30,VA,VA32,MOMO3,39_VA_MOMO3_ZOOM0260,,97,
140,4-Aug-23,GX,7:30,VA,VA1,TUOC7,40_VA_TUOC7_ZOOM0262,,70,
