Prueba,Fecha,Observadora,Hora,Tipo de Bosque,Point,Tratamiento,Grabación,Temperatura,Speaker Direction,Other Notes,,,Agrabacion Syntax
54,4-Jul-23,GX,8:13,TF,TF9,MOMO4,54_TF_MOMO4_ZOOM0142,27,300,,,,
55,4-Jul-23,CAH,8:17,TF,TF29,MSF5,55_TF_MSF5_ZOOM0061,23,154,,,,
56,6-Jul-23,CAH,6:30,TF,TF11,LECO8,56_TF_LECO8_ZOOM0067,23,0,,,,
57,6-Jul-23,GX,6:31,TF,TF28,CTRL4,57_TF_CTRL4_ZOOM0148,25.6,72,,,,
58,6-Jul-23,GX,6:57,TF,TF27,TUOC4,58_TF_TUOC4_ZOOM0149,25,334,,,,
59,6-Jul-23,CAH,7:01,TF,TF4,MSF2,59_TF_MSF2_ZOOM0068,23,212,,,,
60,6-Jul-23,CAH,7:21,TF,TF3,THAR2,60_TF_THAR2_ZOOM0069,23,318,,,,
61,6-Jul-23,GX,7:28,TF,TF21,HEGR6,61_TF_HEGR6_ZOOM0150,24.5,274,,,,
62,6-Jul-23,CAH,7:44,TF,TF1,NF5,62_TF_NF5_ZOOM0070,24,180,,,,
63,6-Jul-23,GX,7:53,TF,TF20,PLCO1,63_TF_PLCO1_ZOOM0151,25.9,360,,,,
64,6-Jul-23,CAH,8:05,TF,TF2,CTRL3,64_TF_CTRL3_ZOOM0071,24,31,,,,
65,6-Jul-23,GX,8:12,TF,TF19,MSF1,65_TF_MSF1_ZOOM0152,26.3,356,,,,
66,9-Jul-23,CAH,6:30,TF,TF8,MSF3,66_TF_MSF3_ZOOM0001,23,177,,,,
67,9-Jul-23,GX,6:33,TF,TF31,NF2,67_TF_NF2_ZOOM0159,24.7,352,,,,
68,9-Jul-23,CAH,6:53,TF,TF11,MYLO2,68_TF_MYLO2_ZOOM0002,23,170,,,,
69,9-Jul-23,GX,7:20,TF,TF30,MSF4,69_TF_NF2_ZOOM0160,24.4,180,,,,
70,9-Jul-23,CAH,7:23,TF,TF9,NF3,70_TF_NF3_ZOOM0003,24,250,,,,
71,9-Jul-23,CAH,7:45,TF,TF4,CTRL5,71_TF_CTRL5_ZOOM0004,24,280,,,,
72,9-Jul-23,GX,7:50,TF,TF29,CTRL1,72_TF_NF2_ZOOM0161,25.4,100,,,,
73,9-Jul-23,CAH,8:09,TF,TF12,LAHY3,73_TF_LAHY3_ZOOM0005,24,194,,,,
74,11-Jul-23,GX,6:31,TF,TF21,CTRL5,74_TF_CTRL5_ZOOM0169,26,290,,,,
75,11-Jul-23,CAH,6:41,TF,TF13,THAR1,75_TF_THAR1_ZOOM0011,23,160,,,,
76,11-Jul-23,GX,6:54,TF,TF20,MSF5,76_TF_MSF5_ZOOM0170,24,20,,,,
77,11-Jul-23,CAH,7:00,TF,TF14,NF4,77_TF_NF4_ZOOM0012,23,320,,,,
78,11-Jul-23,CAH,7:19,TF,TF15,PLCO4,78_TF_PLCO4_ZOOM0013,23,290,,,,
79,11-Jul-23,CAH,7:48,TF,TF30,NF3,79_TF_NF3_ZOOM0014,23,185,,,,
80,11-Jul-23,GX,8:05,TF,TF28,MYLO3,80_TF_MYLO3_ZOOM173,25.6,60,,,,
81,11-Jul-23,CAH,8:17,TF,TF32,HARU3,81_TF_HARU3_ZOOM0015,24,87,,,,
82,11-Jul-23,GX,8:29,TF,TF27,MSF3,82_TF_MSF3_ZOOM174,25.3,54,,,,
83,13-Jul-23,CH,6:32,TF,TF14,MOMO2,83_TF_MOMO2_ZOOM0020,24,324,,,,
84,13-Jul-23,CH,6:52,TF,TF15,NF5,84_TF_NF5_ZOOM0021,23,287,,,,
85,13-Jul-23,GX,7:20,TF,TF29,LAHY2,85_TF_LAHY2_ZOOM0179,26.6,94,,,,
86,13-Jul-23,CH,7:23,TF,TF19,CTRL1,86_TF_CTRL1_ZOOM0022,24,199,,,,
87,13-Jul-23,CH,7:41,TF,TF20,CTRL4,87_TF_CTRL4_ZOOM0023,24,187,,,,
88,13-Jul-23,GX,8:10,TF,TF31,HEGR7,88_TF_HEGR7_ZOOM0181,25.8,342,,,,
89,17-Jul-23,CAH,6:54,TF,TF11,MSF4,89_TF_MSF4_ZOOM0030,21,192,,,,
90,31-Jul-23,CAH,7:34,TF,TF2,NF2,90_TF_NF2_ZOOM0087,22,20,,,,
91,17-Jul-23,CAH,7:17,TF,TF8,LECO1,91_TF_LECO1_ZOOM0031,21,175,,,,
92,17-Jul-23,GX,7:23,TF,TF3,CTRL3,92_TF_CTRL3_ZOOM0191,22.06,336,,,,
93,17-Jul-23,CAH,7:39,TF,TF9,HARU4,93_TF_HARU4_ZOOM0032,21,220,,,,
94,17-Jul-23,GX,7:59,TF,TF1,CTRL2,94_TF_CTRL2_ZOOM0192,24.7,34,,,,
95,17-Jul-23,CAH,8:02,TF,TF12,MSF1,95_TF_MSF1_ZOOM0033,22,190,,,,
96,17-Jul-23,CAH,8:23,TF,TF13,NF1,96_TF_NF1_ZOOM0034,23,26,,,,
97,17-Jul-23,GX,8:24,TF,TF32,MSF2,97_TF_MSF2_ZOOM0193,24.3,290,,,,
