"Spp","Maneuver"
"AKGOE",""
"ANSTR",""
"ATSPA",""
"AUOCH",""
"BAMAR",""
"CAAUR",""
"CATUR",""
"CECIN",""
"ELPLA",""
"EPLEU",""
"FOANA",""
"GLHAR",""
"HEGRI",""
"ISHAU",""
"LAHYP",""
"LECOR",""
"MYBRA",""
"MYGAI",""
"MYHYP",""
"MYMYO",""
"PHHIS",""
"PHNIG",""
"PICHL",""
"PLPLA",""
"RHSIM",""
"SAMAX",""
"THSCH",""
"TOPOL",""
"TRCOL",""
"TYSTO",""
"UK",""
"UKCAN",""
"UKCOL",""
"WIPOE",""
"XIGUT",""
