"Trial","Point","Treatment","Exemplar","Stage","Spp","ID","Distance"
8,"TF8","MSFSOLO","TUOC3","POST","CECIN","CECIN1",20
8,"TF8","MSFSOLO","TUOC3","POST","CECIN","CECIN2",20
8,"TF8","MSFSOLO","TUOC3","POST","WIPOE","WIPOE1",40
8,"TF8","MSFSOLO","TUOC3","POST","LECOR","LECOR1",20
8,"TF8","MSFSOLO","TUOC3","POST","RHSIM","RHSIM1",80
9,"TF11","NF","NF1","PRE","CECIN","CECIN1",15
9,"TF11","NF","NF1","PRE","MYMYO","MYMYO1",50
9,"TF11","NF","NF1","PRE","LECOR","LECOR1",10
9,"TF11","NF","NF1","PRE","MYMYO","MYMYO2",30
9,"TF11","NF","NF1","PRE","HEGRI","HEGRI1",30
9,"TF11","NF","NF1","PRE","ELPLA","ELPLA1",70
9,"TF11","NF","NF1","PRE","ELPLA","ELPLA2",70
9,"TF11","NF","NF1","POST","ELPLA","ELPLA1",70
9,"TF11","NF","NF1","POST","ELPLA","ELPLA2",70
9,"TF11","NF","NF1","POST","LECOR","LECOR1",10
9,"TF11","NF","NF1","POST","MOMOM","MOMOM1",20
9,"TF11","NF","NF1","POST","MOMOM","MOMOM2",20
9,"TF11","NF","NF1","POST","CECIN","CECIN1",15
9,"TF11","NF","NF1","POST","PICAY","PICAY1",20
9,"TF11","NF","NF1","POST","HEGRI","HEGRI1",2
10,"TF13","CTRL","CTRL5","PRE","MYMYO","MYMYO1",50
10,"TF13","CTRL","CTRL5","PRE","TRVIR","TRVIR1",70
10,"TF13","CTRL","CTRL5","PRE","HEGRI","HEGRI1",30
10,"TF13","CTRL","CTRL5","PRE","RHSIM","RHSIM1",80
10,"TF13","CTRL","CTRL5","POST","MYMYO","MYMYO1",50
10,"TF13","CTRL","CTRL5","POST","TRCUR","TRCUR1",80
10,"TF13","CTRL","CTRL5","POST","RHSIM","RHSIM1",70
11,"TF14","MSF","MSF2","PRE","MYMYO","MYMYO1",50
11,"TF14","MSF","MSF2","PRE","XIELE","XIELE1",60
11,"TF14","MSF","MSF2","PRE","MYAXI","MYAXI1",40
11,"TF14","MSF","MSF2","PRE","HEGRI","HEGRI1",30
11,"TF14","MSF","MSF2","PRE","TRCUR","TRCUR1",60
11,"TF14","MSF","MSF2","PRE","CECIN","CECIN1",50
11,"TF14","MSF","MSF2","POST","RHSIM","RHSIM1",40
11,"TF14","MSF","MSF2","POST","RHSIM","RHSIM2",40
11,"TF14","MSF","MSF2","POST","HEGRI","HEGRI1",30
11,"TF14","MSF","MSF2","POST","TYSTO","TYSTO1",30
11,"TF14","MSF","MSF2","POST","TRVIR","TRVIR1",60
11,"TF14","MSF","MSF2","POST","PHHIS","PHHIS1",10
12,"TF15","CTRL","CTRL4","PRE","LAHYP","LAHYP1",60
12,"TF15","CTRL","CTRL4","PRE","TRVIR","TRVIR1",60
12,"TF15","CTRL","CTRL4","PRE","MYMYO","MYMYO1",70
12,"TF15","CTRL","CTRL4","POST","LAHYP","LAHYP1",60
12,"TF15","CTRL","CTRL4","POST","RHSIM","RHSIM1",40
13,"TF29","MSFSOLO","MYLO1","PRE","MYGAI","MYGAI1",10
13,"TF29","MSFSOLO","MYLO1","PRE","PAMIN","PAMIN1",10
13,"TF29","MSFSOLO","MYLO1","PRE","CECIN","CECIN1",15
13,"TF29","MSFSOLO","MYLO1","PRE","CECIN","CECIN2",15
13,"TF29","MSFSOLO","MYLO1","PRE","ATSPA","ATSPA1",50
