"Trial","Point","Treatment","Tr.Type","Exemplar","Forest.type","R1.recruit","R1.spp.per.trial","R1.spp.rec.per.trial","R1.prop.rec","R2.spp.per.trial","R2.spp.rec.per.trial","R2.recruit","R2.prop.rec","Total.Recs","Total.spp.trial","Total.spp.rec.trial","Total.prop.rec","Tr.prop","log.Recs"
62,"VA15","NFSOLO","PLCO","PLCO1","VA",1,4,1,0.25,9,2,2,0.222222222222222,3,13,3,0.230769230769231,0.230769230769231,0.602059991327962
63,"VA4","CTRL","CTRL","CTRL3","VA",2,7,2,0.285714285714286,12,1,1,0.0833333333333333,3,19,3,0.157894736842105,0.157894736842105,0.602059991327962
64,"VA17","MSFSOLO","TUOC","TUOC4","VA",3,4,3,0.75,14,1,1,0.0714285714285714,4,18,4,0.222222222222222,0.222222222222222,0.698970004336019
65,"VA24","NFSOLO","LECO","LECO8","VA",3,11,3,0.272727272727273,18,2,2,0.111111111111111,5,29,5,0.172413793103448,0.172413793103448,0.778151250383644
66,"VA19","MSF","MSF","MSF2","VA",0,2,0,0,10,1,1,0.1,1,12,1,0.0833333333333333,0.0833333333333333,0.301029995663981
67,"VA3","MSFSOLO","MYLO","MYLO2","VA",1,5,1,0.2,7,0,0,0,1,12,1,0.0833333333333333,0.0833333333333333,0.301029995663981
68,"VA2","MSF","MSF","MSF3","VA",4,8,4,0.5,8,1,1,0.125,5,16,5,0.3125,0.3125,0.778151250383644
69,"VA28","NF","NF","NF3","VA",0,4,0,0,9,2,2,0.222222222222222,2,13,2,0.153846153846154,0.153846153846154,0.477121254719662
70,"VA8","NF","NF","NF2","VA",2,3,2,0.666666666666667,5,0,0,0,2,8,2,0.25,0.25,0.477121254719662
71,"VA29","NFSOLO","LAHY","LAHY3","VA",5,8,4,0.5,13,0,0,0,5,21,4,0.19047619047619,0.19047619047619,0.778151250383644
72,"VA9","CTRL","CTRL","CTRL4","VA",1,3,1,0.333333333333333,6,0,0,0,1,9,1,0.111111111111111,0.111111111111111,0.301029995663981
73,"VA26","MSF","MSF","MSF5","VA",3,4,3,0.75,9,1,1,0.111111111111111,4,13,4,0.307692307692308,0.307692307692308,0.698970004336019
74,"VA10","MSFSOLO","HARU","HARU3","VA",6,10,6,0.6,14,0,0,0,6,24,6,0.25,0.25,0.845098040014257
75,"VA20","MSF","MSF","MSF4","VA",0,4,0,0,8,1,1,0.125,1,12,1,0.0833333333333333,0.0833333333333333,0.301029995663981
